uuid,file_md5,index,source,target,argc,argv,return,dynamic
ebd84a722a5e38e1c0b1b6327803508d,7354f367b3bb5509641e9ca3cf5eff91,0,__main__,zend_compile_file,2,{"value": []},{"value": "39413C3A3941413C3A3941413C3A413C000050512B5051423C9D2A413C9D2642413C2B41423C6A3C9D2A9D2641423C08413C6A3C41425051423C47413C08413C6A3C413B3D2B162A16413C3C2B50423C53262A413C2B262A413C2B1E2A413C2B1E2A413C2B1E2A413C2B1E2A4141413C112B162A1626632600000000000000000000000000000059732B5051112B505108505108413C2626423C0D2B262A2A2A286308413C6A3C0808282850510808083C08083C08083C080828722B0808282A28474848484848484826505142423C2B50519D2A9D2659732B5051423C08413C9D2A639D26284D4E892626112B162A1608080808423C08080808282A3128283C2808082828285051302B632B3C413C3C263C47264142433C51512651512B5151085151089D2A51519D262A505147413C2B413C9D2A9D48413C2B413C9D2A9D482B9D2A9D483C48483C4850514850514850514850514850514850514850512B50519D2A9D48413C6A3C48413C6A3C48413C48413C48413C48413C0848413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A1648413C2B162A16482B9D2A9D4826080828284D4E89262608080808282A3128322A302B2B162A162647482659732B50519D2A9D2659732B505126112B63162A162642423C262A51080828283C28423C080828284748264D4E8926260808112B162A1608080808282A31282828413C0808630808282828282828282828282828282828282851423C080828322A302B59732B5051423C9D2A9D2659732B50519D2A9D2659732B5051423C9D2A9D2659732B5051423C9D2A9D26080828283C2828423C080828423C080828423C080828423C08082850512B162A1608082850512B162A1608082850512B162A1608082850512B162A1608082850512B162A160808282828122B3C3C28112B9D2A41423C9D26112B9D2A41423C9D2608413C6A424242505142505142505142423C262B162A160808282A322A302B59732B5051423C9D2A9D2659732B50519D2A479D26080828283C2828423C08082828474848264D4E89262608080808080851112B162A1608080808282A3128285051423C132B474848484848484848484848484848474748484848484848474848484848263C3C2808413C6A4242423C262B162A160808282A322A302B59732B5051423C263C4241413C112E42413C11342B39500808493A2A3950493A3C263C2A2626413C28080828283C28423C08082828282828282863080828282828423C080828322A302B59730D2E59730D342E59730D342B505126505126505126505126505126505126505126302B413C2B42413C2B41423C26512651262A26393B37383738373837383738413D3A262B0808263B08413D3B423D262B1E3B423D262B93892A2A1E3B423D47263B423D2A080826393B423D3A2A080826322A302B413C2B393B4242423D3A262B0808263B42423D3B423D262B1E3B423D262B93892A2A1E393B423D3A2A080826393B423D3A2A080826322A302B413C2B393B42420808413D3A262B0808263B42423D263B423D2B1E3B4263413D262B93892A2A1E3B3D265147263B423D2A3B3D26514726080826393B423D3A2A080826322A302B413C2B3B42413C2B9D2A089D6A4242423D262B0808264241413C112B472626264142433C51512E5151342E5151342E5151342B3B5D5D42423D3B0841423D5151080851510808263B42423D262B3B4263413D262B41423C081E24462A2B5151423C264242413C2B162A161E47423C6A3C080848262A1E2A1E3B3D473B3D48262A1E2A720D2B3B42423D3B0841423D3B42423D262B1E3B4263413D262B93892A2A1E3B3D473B3D48262A3B423D2A0808263B3D473B3D48263B423D2A080826322A2A26262626262626080828283C28282847484848264D4E89260808112B162A1608080808282A310808280808280808280808282828282808080808282828282808082828282828286308082828423C08082828474848484848484848264D4E89260808112B162A1608080808282A3128282B283C423C3C263C41423C2E413C342B394141423C3A262A423C28282A322A302B59730D2E59730D342B50512650512650512B50519D2A9D26505126424242423C262A505126262626080828283C2828080828080808082808082828474848484848264D4E8926260808112B162A1608080808282A312828322A302B2A302B505108505108413C26413C26423C0D2B262A423C262641423C2E342B26394141423C3A262A423C6A3C26423C6A3C6A413C08080808080826413C28080828283C28423C0808280808282B284748264D4E8926260808112B162A1608080808282A31282A423C08082828423C0808283C28322A302B59732B50519D2A50519D26413C0808413C0808262659732E5973342B505126472626132D24462A5151112B505151112B51519D2A5051519D265151260808413C2642423C2B0808162A08081693892A2A2A080828283C2808082826132D24462A080808080808510808282A280808283C28322A2A59732B505151112B262A5051112B5051519D2A50519D265051512608413C2642423C2B0808162A080816262A59732B5051302B50510D2B50510808262A2650514D4E8926395008413C6A50510808413C6A3C3A2B162A16172A312B080850510808162A080850510808162626322A302B50510D2B262A2650514D4E8926395008413C6A3C3A2B16"},[]
ebd84a722a5e38e1c0b1b6327803508d,7354f367b3bb5509641e9ca3cf5eff91,1,__main__,error_reporting,1,"{""value"": [[0, ""new_error_level"", 1]]}",{"value": "void"},[0]
ebd84a722a5e38e1c0b1b6327803508d,7354f367b3bb5509641e9ca3cf5eff91,2,__main__,ini_set,2,"{""value"": [[0, ""varname"", ""display_errors""], [1, ""newvalue"", ""Off""]]}",{"value": "void"},"[0, 0]"
ebd84a722a5e38e1c0b1b6327803508d,7354f367b3bb5509641e9ca3cf5eff91,3,__main__,ini_set,2,"{""value"": [[0, ""varname"", ""max_execution_time""], [1, ""newvalue"", 10000]]}",{"value": "void"},"[0, 0]"
ebd84a722a5e38e1c0b1b6327803508d,7354f367b3bb5509641e9ca3cf5eff91,4,__main__,header,1,"{""value"": [[0, ""header"", ""content-Type: text/html; charset=gb2312""]]}",{"value": "void"},[0]
ebd84a722a5e38e1c0b1b6327803508d,7354f367b3bb5509641e9ca3cf5eff91,5,__main__,zend_fetch_r_server,1,"{""value"": [[0, ""op1"", ""_SERVER""]]}",{"value": []},[0]
ebd84a722a5e38e1c0b1b6327803508d,7354f367b3bb5509641e9ca3cf5eff91,6,__main__,zend_fetch_r_server,1,"{""value"": [[0, ""op1"", ""_SERVER""]]}",{"value": []},[0]
ebd84a722a5e38e1c0b1b6327803508d,7354f367b3bb5509641e9ca3cf5eff91,7,__main__,strdir,1,"{""value"": [[0, ""str"", ""/usr/share/nginx/html/7354f367b3bb5509641e9ca3cf5eff91_d228d9bf-b81a-4d0a-8dc0-038ea936b3f3.php""]]}",{"value": "/usr/share/nginx/html/7354f367b3bb5509641e9ca3cf5eff91_d228d9bf-b81a-4d0a-8dc0-038ea936b3f3.php"},[0]
ebd84a722a5e38e1c0b1b6327803508d,7354f367b3bb5509641e9ca3cf5eff91,8,strdir,chop,1,"{""value"": [[0, ""str"", ""/usr/share/nginx/html/7354f367b3bb5509641e9ca3cf5eff91_d228d9bf-b81a-4d0a-8dc0-038ea936b3f3.php""]]}",{"value": "/usr/share/nginx/html/7354f367b3bb5509641e9ca3cf5eff91_d228d9bf-b81a-4d0a-8dc0-038ea936b3f3.php"},[0]
ebd84a722a5e38e1c0b1b6327803508d,7354f367b3bb5509641e9ca3cf5eff91,9,strdir,str_replace,3,"{""value"": [[0, ""search"", []], [1, ""replace"", []], [2, ""subject"", ""/usr/share/nginx/html/7354f367b3bb5509641e9ca3cf5eff91_d228d9bf-b81a-4d0a-8dc0-038ea936b3f3.php""]]}",{"value": "/usr/share/nginx/html/7354f367b3bb5509641e9ca3cf5eff91_d228d9bf-b81a-4d0a-8dc0-038ea936b3f3.php"},"[0, 0, 0]"
ebd84a722a5e38e1c0b1b6327803508d,7354f367b3bb5509641e9ca3cf5eff91,10,__main__,strpos,2,"{""value"": [[0, ""haystack"", ""/usr/share/nginx/html/7354f367b3bb5509641e9ca3cf5eff91_d228d9bf-b81a-4d0a-8dc0-038ea936b3f3.php""], [1, ""needle"", ""eval()""]]}",{"value": false},"[0, 0]"
